index_num,idiom,idiom_stripped,s1,s2,s3,label,position,corrected_labels,total_i,total_l,total_na,incorrect_i,incorrect_l,incorrect_na,incorrect_total,total_duplicates
65,आँखा तान्नु,आँखा त,आफैलाई ताजुप लाग्यो।,"मेरा आँखा त्यही ढडिया, बूढा सान्दाइ अनि प्लास्टिकको पाल वरिपरि घुमिरहे।",घुमे व्यक्तिगत स्वार्थको लागि नागरिक र देश नै धराप पार्न सक्ने हाम्रा नेताको जमातलाई।,NA,"मेरा आँखा त्यही ढडिया, बूढा सान्दाइ अनि प्लास्टिकको पाल वरिपरि घुमिरहे।",,,,,,,,,
66,आँखा तान्नु,आँखा त,आइपिओ (IPO) भनेको के हो आईपीओ आईपीओ कसरी भर्ने र के फाइदा हुन्छ ?,आँखा तेजिलो बनाउने यी ८ खानेकुरा आँखाको डार्क सर्कल हटाउने उपाय पत्तो लाउन चाहनुहुन्छ ?,?,NA,आँखा तेजिलो बनाउने यी ८ खानेकुरा आँखाको डार्क सर्कल हटाउने उपाय पत्तो लाउन चाहनुहुन्छ ?,,,,,,,,,
67,आँखा तान्नु,आँखा त,जादलेु झैँ ढोकाको ताला चुकुल बाहिर झुन्डिरहेको देखेपछि म चोर विरालाका पाइलाहरू चाल्छु र विस्तारै बाहिर निस्किन्छु ।,रंगीविरंगी थरिथरिका बत्तीहरूको चमक चिल्लो भुईमा पोखिएर आँखा तिरमिर पारिरहेको छ ।,विभिन्न जातका मनमोहक फुलहरु ढकमक्क फुलेर उज्यालो रातलाई अझ सिगाँरिरहेका छन् ।,NA,रंगीविरंगी थरिथरिका बत्तीहरूको चमक चिल्लो भुईमा पोखिएर आँखा तिरमिर पारिरहेको छ ।,,,,,,,,,
68,आँखा तान्नु,आँखा त,"जस अन्तर्गत दक्षिण एसियाली खेलकुदका पदक विजेता करातेकी अनु अधिकारी र भारोत्तोलनका कमल अधिकारी एनएनआइप ...
बिसे नगर्चीको बयान
कवि श्रवण मुकारुङ को कविता म यो गोरखा राज्यमा अढाई सय वर्षपछि बौलाएँ ।",मेरो टाउको फनफनी घुमिरहेछ जमीन आकाशतिर आकाश जमीनतिर भइरहेछ आँखा तिर्मिरतिर्मिर भएर हजुरको शिर दसवटा देखिरहेछु खोई मेरो पैताला कहाँनिर छ - कहाँनिर छ बिसे नगर्ची - मालिक!,"म बौला ...
वेडेन पावेल शिखर ब्याज
वेडेन पावेल शिखर ब्याज ब्वाय्\गर्ल स्काउटलाई सदस्यता ब्याज प्रदान गरिएपछि प्रदान गरिने दोस्रो चरणको ब्याज हो ।",NA,मेरो टाउको फनफनी घुमिरहेछ जमीन आकाशतिर आकाश जमीनतिर भइरहेछ आँखा तिर्मिरतिर्मिर भएर हजुरको शिर दसवटा देखिरहेछु खोई मेरो पैताला कहाँनिर छ - कहाँनिर छ बिसे नगर्ची - मालिक!,,,,,,,,,
69,आँखा पाक्नु,आँखा प,अराजकता यसरी मात्र रोकिन्छ भन्ने मान्यता थियो ।,यो आवश्यकता वास्तवमा यत्तिको स्पष्ट र अनिवार्य मानिन्थ्यो कि राजाबिना पनि काम चलाउन सकिन्छ र भन्ने प्रश्न दृष्टबिहीनको त कुरै छोडौ दुइ आँखा प्रष्ट देख्नेहरुले सोच्न र उठाउन सक्तैनथे ।,हुन पनि सत्तासँगको मानिसको सम्वन्ध धेरै नै पुरानो छ ।,NA,यो आवश्यकता वास्तवमा यत्तिको स्पष्ट र अनिवार्य मानिन्थ्यो कि राजाबिना पनि काम चलाउन सकिन्छ र भन्ने प्रश्न दृष्टबिहीनको त कुरै छोडौ दुइ आँखा प्रष्ट देख्नेहरुले सोच्न र उठाउन सक्तैनथे ।,,,,,,,,,
70,आँखा पाक्नु,आँखा प,"’
उनले थपे, ‘वरपरको सवारी साधनबाट यस्तो धुवाँ निस्किन्छ कि श्वास फेर्नै गाह्रो हुन्छ ।",आँखा पोलेर हेर्नै सकिँदैन ।,"’
३९ वर्षिया सामाजिक अभियान्ता निलम जोशी भन्छिन्, ‘जब म कामका लागि घरबाट निस्किएर रेल स्टेसन पुग्छु; बाहिर निस्किनासाथ प्रदूषण महसस भइहाल्छ ।",NA,आँखा पोलेर हेर्नै सकिँदैन ।,,,,,,,,,
71,आँखा पाक्नु,आँखा प,"कार्बन मोनोअक्साइड धेरै भएको ठाउँमा हामीले सास फेर्दा टाउको दुख्ने, रिंगटा लाग्ने, वाकवाक लाग्ने, उल्टी हुन खोज्नेजस्ता लक्षण देखिन्छन् ।","यसबाहेक सास फेर्न कठिन हुने, आँखा पोलेजस्तो हुने पनि हुन्छ ।","जोगिने उपाय
हामी पनि कोठा तताउन कोइला, दाउरा वा हिटर, ब्लोअर बाल्दै हुनुहुन्छ भने भेन्टिलेसन खुला राख्नुहोस् ।",NA,"यसबाहेक सास फेर्न कठिन हुने, आँखा पोलेजस्तो हुने पनि हुन्छ ।",,,,,,,,,
72,आँखा पाक्नु,आँखा प,विशेष गरेर बालबालिकामा स्वास प्रस्वाससँगै मानसिक समस्या पनि देखिन सक्ने उनले बताए।,साथै आँखा पिरो हुने र घाँटी चिलाउने असर तत्काल नै देखिएको र त्यस्ता विरामीहरुको सङ्ख्या अत्यधिक धेरै रहेको उनले जानकारी दिए।,नयाँ दिल्लीमा दीपावलीका पटाकाहरूका कारण अघिल्लो शुक्रबारदेखि वायु प्रदूषण फेरि खतरनाकपूर्ण अवस्थामा पुगेको छ।,NA,साथै आँखा पिरो हुने र घाँटी चिलाउने असर तत्काल नै देखिएको र त्यस्ता विरामीहरुको सङ्ख्या अत्यधिक धेरै रहेको उनले जानकारी दिए।,,,,,,,,,
73,आँखा पाक्नु,आँखा प,धूलोले आँखाधरि हेर्न नसकेर चि’म्म गरेका थिए।,"जसै सेनाले उनको जिउको लुगा ट’क्टकाए, ओठमा लागेको माटो ह’टाए र हल्कासँग फू गरेर आँखाको धूलो झा’रे, उनले आँखा पुलुक्क उ’घारे।",भु’इँचालोको अ’सह्य चोटमा एउटा खुसी मु’सुक्क हाँसेको थियो।,NA,"जसै सेनाले उनको जिउको लुगा ट’क्टकाए, ओठमा लागेको माटो ह’टाए र हल्कासँग फू गरेर आँखाको धूलो झा’रे, उनले आँखा पुलुक्क उ’घारे।",,,,,,,,,
74,आँखा फुट्नु,आँखा फु,"आँखालाई स्वस्थ नराख्दा चिलाउने, इन्फेक्सन हुनेजस्ता रोग देखा पर्छन् ।","धुलो परेर समयमा उपचार नगर्दा आँखा फुट्ने, आँखा देख्न बन्द हुनेजस्ता समस्या देखिन्छन् ।",बिहान र बेलुका कम्तीमा दुईपटक सफा पानीले आँखा पखाल्नुपर्छ ।,L,"धुलो परेर समयमा उपचार नगर्दा ###आँखा फुट्ने###, आँखा देख्न बन्द हुनेजस्ता समस्या देखिन्छन् ।",,,,,,,,,
75,आँखा फुट्नु,आँखा फु,"सञ्जिवनी बोका
यी बोकाहरु आफूलाई दुबो हैन सञ्जिवनी बुटी खाने बोका हुँ भन्छन्।","भन्ने बेला कन्चन तलाउको वरी परी फुलेको बुटि खाने भनेर भन्छन् तर भदौमा आँखा फुट्या गोरु टाइपको भिजन हुन्छ यिनको, यिनले भन्ने गरेका अधिकांश सञ्जिवनी बुटीहरु कि त बनमारा झार हुन्छ कि भने त्यो गन्हाउने झार जस्तो हुन्छ।","यस्ता बोकाहरु सामान्यतया नाक उचालेको पाइदैन तर यिनले सुटुक्क नाक उचाल्न त खोज्या हुन्छन्, एउटा न एउटाले मेसो पाएर यिन्लाइ नाङ्गेझार नि पार्दि रा’खेका हुन्छन् बेला बेला, अनि अर्को सञ्जिवनी बुटी भनेर अर्को गन्हाउने झार खोज्न थाल्छन।",I,"भन्ने बेला कन्चन तलाउको वरी परी फुलेको बुटि खाने भनेर भन्छन् तर भदौमा ###आँखा फुट्या### गोरु टाइपको भिजन हुन्छ यिनको, यिनले भन्ने गरेका अधिकांश सञ्जिवनी बुटीहरु कि त बनमारा झार हुन्छ कि भने त्यो गन्हाउने झार जस्तो हुन्छ।",,,,,,,,,
76,आँखा फुट्नु,आँखा फु,"मल्ल सेनाका वाणले पाँडेको मृत्यु भयो, गोरखालीको हार भयो ।",दोस्रोपल्ट कीर्तिपुरमाथि १८२१ मा गोरखाली सेनाले आक्रमण गर्दा सेनापति सुरप्रताप शाहको बायाँ आँखा फुट्यो र गोरखाली सेनाको हार भयो ।,तेस्रोपटक कीर्तिपुरमाथि ६ महिनासम्म कडा नाकाबन्दी गरियो ।,L,दोस्रोपल्ट कीर्तिपुरमाथि १८२१ मा गोरखाली सेनाले आक्रमण गर्दा सेनापति सुरप्रताप शाहको बायाँ ###आँखा फुट्यो### र गोरखाली सेनाको हार भयो ।,,,,,,,,,
77,आँखा फुट्नु,आँखा फु,“यो व्यवस्था र सत्तामा पुगेका नेताहरुले देश र जनतालाई लुटिरहेका छन् ।,"अरुलाई पनि आफूजस्तै देखिरहेका छन्, भदौमा आँखा फुटेको गोरुले जहिले पनि हरियो देखेझैं हो” पुनले भने ।","कुराकानीको क्रममा पुनले अहिलेको व्यवस्था र नेताले देश र जनतालाई लुटिरहेकोले भन्दै भने, “कम्युनिस्टको नाममा देश र जनतालाई लुटिरहेका छन् ।",L,"अरुलाई पनि आफूजस्तै देखिरहेका छन्, भदौमा ###आँखा फुटेको### गोरुले जहिले पनि हरियो देखेझैं हो” पुनले भने ।",L,,,,,,,,
78,आँखा फुट्नु,आँखा फु,चारतारेकाे खम्बा गाड्नकाे लागि गम्भीर हुनेहरुकाे मन चुडिदै छ ।,"तापनि म्याग्दी कांग्रेसले बुझेकाे छ – अलिकति कम्युटर जानेका भन्दा जान्दै नजानेकाेलाई सिकाउन सजिलाे भई झै मत पत्रमा लगाम लगाएकाे घाेडा झै, भदाैमा आँखा फुटेकाे गाेरु झै मतदाता चाहिएकाेछ , जसले दायाँबायाँ नहेरि झ्याप्प वुटामा भाेट ठाेक्दियाेस ।",वि. पि. काे हाेइन उम्मेदवारको फाेटाे चिनाेस् ।,I,"तापनि म्याग्दी कांग्रेसले बुझेकाे छ – अलिकति कम्युटर जानेका भन्दा जान्दै नजानेकाेलाई सिकाउन सजिलाे भई झै मत पत्रमा लगाम लगाएकाे घाेडा झै, भदाैमा ###आँखा फुटेकाे### गाेरु झै मतदाता चाहिएकाेछ , जसले दायाँबायाँ नहेरि झ्याप्प वुटामा भाेट ठाेक्दियाेस ।",,,,,,,,,
79,आँखा लाग्नु,आँखा ला,यसअघि पनि दुईपटक भारतीय कर्मचारीतन्त्रको ढिलासुस्तीले त्यस्तो भएको तर भारतले विदेशी हतियारै नेपाल छिर्न नदिने सचेत प्रयासचाहिँ नगरेको हुनसक्ने अमेरिकी राजदूतको आकलन छ ।,तर त्यसरी ढिला हुँदा नेपालले हतियारका लागि भारत र अन्य स्रोततिर आँखा लाउन थालेको पनि उनले पत्रमा उल्लेख गरेका छन् ।,"जनआन्दोलनताका
२००६ अप्रिल २१ मा ज्ञानेन्द्रले सार्वभौमसत्ता जनतालाई फर्काएको भाषणले अमेरिकीहरूलाई उत्साहित पारेको थियो ।",I,तर त्यसरी ढिला हुँदा नेपालले हतियारका लागि भारत र अन्य स्रोततिर ###आँखा लाउन### थालेको पनि उनले पत्रमा उल्लेख गरेका छन् ।,,,,,,,,,
80,आँखा लाग्नु,आँखा ला,"विभिन्न पार्टी पालेस, बैठक बैक्वेत, होटल, रेष्टुरेन्ट, मठमन्दिर र गुठीगाना लगायत खुल्ला ठाउँहरु मात्र हैन सार्वजानिक रुपमा हिडडुल गर्नु पर्ने ठाउँहरु पनि भोजका कारण खचाखच हुने र बाटो छेक्नेहरु कम हुदैन ।","अहिले नै विवाह, व्रतवन्ध, पासनी जन्मोत्सव, भिमरथारोहण जस्ता भोजहरुका कार्डहरु बनाउने, पार्टीपालेस बुकिङग गर्ने, भोजको लागि चाहिने सामाग्रीहरु जुताउने काममा लागिरहेकै बेला सरकारको आँखा लागेछ ।","एकातिर काम छैन, जागीर छैन, काम चौपट भयो , व्यवसाय घाटामा गयो, तलव कम भयो भनेर सरकारलाई कर नतिर्ने तर भोजभतेरमा तामझामका साथ खर्च गर्दै हुनुहुन्छ भने तपाई पनि कर कार्यालयको निगारानीमा हुनुहुन्छ भनेर जान्नु ।",I,"अहिले नै विवाह, व्रतवन्ध, पासनी जन्मोत्सव, भिमरथारोहण जस्ता भोजहरुका कार्डहरु बनाउने, पार्टीपालेस बुकिङग गर्ने, भोजको लागि चाहिने सामाग्रीहरु जुताउने काममा लागिरहेकै बेला सरकारको ###आँखा लागेछ### ।",,,,,,,,,
81,आँखा लाग्नु,आँखा ला,काम गर्ने सवालमा होसियार रहनुहोला काम बिगार्ने तथा तपाईको नकारात्मक सोच्नेहरु सक्रिय हुनेछन् ।,"आम्दानि हुँने ठाउँमा सत्रुका आँखा लाग्न सक्छ...	
श्रीकेदारनाथ मन्दिरलाई एक शेयर गर्दै भेटी चढाएर राशिफल पढ्नुहोस् ।",तपाईंको मनोकामना पुरा हुनेछ ।,I,"आम्दानि हुँने ठाउँमा सत्रुका ###आँखा लाग्न### सक्छ...        
श्रीकेदारनाथ मन्दिरलाई एक शेयर गर्दै भेटी चढाएर राशिफल पढ्नुहोस् ।",,,,,,,,,
82,आँखा लाग्नु,आँखा ला,त्यसैले जसले जे भनेपनि हाँसेरै टारिदिन्थिन् ।,तर त्यही देखावटी हाँसोमा पनि सासु र आमाजुको आँखा लाग्यो ।,उनीहरु विपनाका बारे भए/नभएका कुरा रविलाई सुनाइदिन्थे ।,I,तर त्यही देखावटी हाँसोमा पनि सासु र आमाजुको ###आँखा लाग्यो### ।,,,,,,,,,
83,आँखा लाग्नु,आँखा ला,"ढुगानाले गरेको यस्ता कुकृत्यले गर्दा पनि बोर्डमा अब आउने नेतृत्व उच्च नैतिक चरित्रवान भएको हुनुपर्ने, आर्थिकरुपमा पारदर्शी भएको हुनुपर्ने सबैको अपेक्षा छ ।",तर अहिले धितोपत्र बोर्डमा निजी क्षेत्रको आँखा लागेको छ ।,राजनीतिक दललाई आगामी निर्वाचनका लागि खर्च उठाउनुपर्ने छ ।,I,तर अहिले धितोपत्र बोर्डमा निजी क्षेत्रको ###आँखा लागेको### छ ।,,,,,,,,,
84,आँखाको कसिङ्गर हुनु,आँखाको क,यसले तपाईको मांसपेशीहरूलाई थर्काउन अघि यसलाई न्यानो पार्न मद्दत गर्दछ।,"थप पढ्नुहोस्
Eye सल्लाह आँखा क्यान्सर रोक्न
11 सक्छ, 2020
हामी पाँच सुझावहरू प्रस्तुत गर्दछौं जसले तपाईंलाई आँखाको क्यान्सर रोक्न मद्दत गर्दछ।",हामीमाथि निर्भर छ कि उत्कृष्ट आँखा स्वास्थ्य पाउन यथासक्दो गर्न र यो र अन्य रोगहरू जसले हाम्रो आँखालाई असर गर्न सक्छ बाट जोगिन।,NA,"थप पढ्नुहोस्
Eye सल्लाह आँखा क्यान्सर रोक्न
11 सक्छ, 2020
हामी पाँच सुझावहरू प्रस्तुत गर्दछौं जसले तपाईंलाई आँखाको क्यान्सर रोक्न मद्दत गर्दछ।",,,,,,,,,
85,आँखाको कसिङ्गर हुनु,आँखाको क,आँखाका अन्य रोगभन्दा सापु फरक हुन्छ ।,"यो रोग लाग्दा आँखा रातो हुने, उज्यालोमा हेर्न गाह्रो हुने, आँखाको कालो भागको बीचमा सेतो हँुदै जाने, ज्यादै छोटो समयमा दृष्टि कम हुँदै जानु, आँखा पाकेजस्तो देखिए पनि चिप्रा पटक्कै नआउने नै यसका प्रमुख लक्षण रहेको डा. खड्काको भनाइ छ ।",‘सिजनल हाइपर एक्युट पानुभिआईटिस’ अर्थात् सापु रोग नेपालमा पहिलोपटक २०३२ सालमा पोखराका बालबालिकामा देखिएको थियो ।,NA,"यो रोग लाग्दा आँखा रातो हुने, उज्यालोमा हेर्न गाह्रो हुने, आँखाको कालो भागको बीचमा सेतो हँुदै जाने, ज्यादै छोटो समयमा दृष्टि कम हुँदै जानु, आँखा पाकेजस्तो देखिए पनि चिप्रा पटक्कै नआउने नै यसका प्रमुख लक्षण रहेको डा. खड्काको भनाइ छ ।",,,,,,,,,
86,आँखाको कसिङ्गर हुनु,आँखाको क,"गाजरको स्वास्थ्य लाभ
गाजरमा भिटामिन ए, भिटामिन बी १, भिटामिन बी २, भिटामिन बी,, भिटामिन बी,, भिटामिन के, भिटामिन ई र भिटामिन सी र म्याग्नीशियम, पोटेशियम, क्याल्शियम, फस्फोरस र सेलेनियम जस्ता खनिजहरू जस्ता विटामिनहरू सहित धेरै पोषक तत्त्वहरू हुन्छन्।",गाजर बीटा क्यारोटीन समृद्ध हुन्छन् कि शरीर भिटामिन ए मा रूपान्तरण गर्दछ आँखाको कार्य र प्रतिरक्षा प्रणालीको सहयोगका लागि।,"भिटामिन एले शरीरबाट अत्यधिक विषाक्त पदार्थहरू हटाउन मद्दत गर्दछ, कलेजोबाट पित्त कम गर्दछ, आँखाको राम्रो स्वास्थ्य बढाउने इत्यादि।",NA,गाजर बीटा क्यारोटीन समृद्ध हुन्छन् कि शरीर भिटामिन ए मा रूपान्तरण गर्दछ आँखाको कार्य र प्रतिरक्षा प्रणालीको सहयोगका लागि।,,,,,,,,,
87,आँखाको कसिङ्गर हुनु,आँखाको क,"क्रिश्चियन साइन्सका अन्य विद्यार्थीहरू कहिलेकाँही अझ सूक्ष्म त्रुटिमा पर्दछन्, विशेष गरी उनीहरूको उपचारको क्रममा।","तिनीहरू सही, आध्यात्मिक मानिसमा मिलाप र पूर्णताको आफ्नो घोषणाहरू सही रूपमा गर्छन्; तर त्यसो गर्ने क्रममा उनीहरूले शरीरलाई “तिनीहरूका आँखाको कुनाबाट” हेरिरहेका हुन्छन्।","त्यसोभए, उपचारले प्रभाव पारेको छ कि छैन भनेर हेर्न, त्यहाँ एक भौतिक मानिस र आध्यात्मिक मानिस पनि छ भनेर स्पष्ट रूपमा स्वीकार्छ।",NA,"तिनीहरू सही, आध्यात्मिक मानिसमा मिलाप र पूर्णताको आफ्नो घोषणाहरू सही रूपमा गर्छन्; तर त्यसो गर्ने क्रममा उनीहरूले शरीरलाई “तिनीहरूका आँखाको कुनाबाट” हेरिरहेका हुन्छन्।",,,,,,,,,
88,आँखाको कसिङ्गर हुनु,आँखाको क,निला खुशी र बिस्मातको भुमरीमा एकैपटक उचालिएर पछारिन पुगेकी थिई नबिनको जवाफ सुनेर।,"जोइपोइ मिलेर छिट्टै पैसो कमाउन सकिने, इजरायली जोडीझैँ कुमा जोडेर भुमध्य सागरको पानी निल्याल्ने कल्पनागर्दा खुशीको सगरमाथा टेक्थी त बाबु आमाले दुबैले पैसाका लागि छोड्नुपरेको अभागी बच्चासम्झिँदा यसो नगरुँ भन्दै आँखाको कोश पुच्छ्थी।",आखिर उसले यो सब छिट्टै नै यो बनबास टुङ्याउनको लागि गर्दै थिई।,NA,"जोइपोइ मिलेर छिट्टै पैसो कमाउन सकिने, इजरायली जोडीझैँ कुमा जोडेर भुमध्य सागरको पानी निल्याल्ने कल्पनागर्दा खुशीको सगरमाथा टेक्थी त बाबु आमाले दुबैले पैसाका लागि छोड्नुपरेको अभागी बच्चासम्झिँदा यसो नगरुँ भन्दै आँखाको कोश पुच्छ्थी।",,,,,,,,,
89,आँखाको विष मार्नु,आँखाको व,अरु शरीरका थकाइ र हैरानीको बह पोख्ने पो कसलाई !,"०००
आँखाको विष मारेर बिहान चारै बजे उठेँ म ।",चराको गायन र स्वरले आँखा चिम्लिरहन पाइनँ मैले ।,I,"०००
###आँखाको विष मारेर### बिहान चारै बजे उठेँ म ।",,,,,,,,,
90,आँखाको विष मार्नु,आँखाको व,"मैले फेरि सोधेँ, 'हामीले सिंगै किन्दा टाउको पाइएन नि?","
गोपालले भने, 'बर्मेलीले खसीको गिदी र आँखाको विशेष परिकार बनाएर खान्छन्।",त्यही भएर तपाईंलाई टाउको दिएनछन्।,NA,"
गोपालले भने, 'बर्मेलीले खसीको गिदी र आँखाको विशेष परिकार बनाएर खान्छन्।",,,,,,,,,
91,आँखाको विष मार्नु,आँखाको व,"गुर्जोको सेवनले मानसिक तथा नशासम्बन्धी समस्या हटाउन मद्दत गर्ने जानकारी दिँदै उहाँले पाचनप्रणालीलाई बलियो बनाउने, रगतको कमीलाई सन्तुलन गर्ने, बाथ रोगको निर्मूल गर्ने, पेटसम्बन्धी समस्या समाधान गर्ने, श्वासप्रश्वाससम्बन्धी समस्या समाधान गर्ने उनले दाबी गरे ।","नियमित गुर्जोको सेवनले आँखाको विकार तथा कमजोरी हटाउन मद्दत गर्नुका साथै चाया, कालोपोतो, च्याउरीपनाजस्ता छालासम्बन्धी समस्या समाधान गर्ने उनको भनाइ छ ।",गुर्जोको सेवन बालबालिका तथा सुत्केरीले भने गर्न नहुने र रक्तचाप कम भएका व्यक्तिले भने नूनको प्रयोग गरेर खानसक्ने बताए ।,NA,"नियमित गुर्जोको सेवनले आँखाको विकार तथा कमजोरी हटाउन मद्दत गर्नुका साथै चाया, कालोपोतो, च्याउरीपनाजस्ता छालासम्बन्धी समस्या समाधान गर्ने उनको भनाइ छ ।",,,,,,,,,
92,आँखाको विष मार्नु,आँखाको व,"आईफोन क्यामेराले पनि महत्वपूर्ण सुधारहरू प्राप्त गर्दछ: हामीसँग छ १२ MP क्यामेरा, जो जोडीएको छ नयाँ सेन्सर धेरै रचनात्मक फोटोहरूका लागि।","मुख्य भाषणमा, फोटोमा मुख्य चरित्रको आँखाको विवरण उदाहरणका रूपमा दिइन्छ, वा फोटोमा ठूलो कन्ट्रास्ट जहाँ मुख्य वस्तु धेरै उज्यालो हुन्छ।","अन्तमा, क्यामेरासँग महत्त्वपूर्ण छ स्थिरता, जुन विशेष गरी भिडियोमा हराइरहेको थियो।",NA,"मुख्य भाषणमा, फोटोमा मुख्य चरित्रको आँखाको विवरण उदाहरणका रूपमा दिइन्छ, वा फोटोमा ठूलो कन्ट्रास्ट जहाँ मुख्य वस्तु धेरै उज्यालो हुन्छ।",,,,,,,,,
93,आँखाको विष मार्नु,आँखाको व,आँखालाई बचाउन तथा स्याहार गर्न अत्यावश्यक हुन्छ।,"आँखालाई स्वस्थ राख्नका लागि पोषणको जति आवश्यक हुन्छ, आँखाको व्यायामको त्यतिकै आवश्यक हुन्छ।","पुरा पढ्नुहोस्
मुसाको संक्रमण
शरीरमा मुसा आएकै कारण ज्यानै जाने त जोखिम हुँदैन तर त्यसले शरीरका अंगको सुन्दरतामा भने अवश्य खोस्छ।",NA,"आँखालाई स्वस्थ राख्नका लागि पोषणको जति आवश्यक हुन्छ, आँखाको व्यायामको त्यतिकै आवश्यक हुन्छ।",,,,,,,,,
94,आँखामा छारो हाल्नु,आँखामा छ,जब कि जातीय बिभेदका कारण जघन्य हत्या कुटपिट आदि भएको घटनाहरु भने न्यायोचित छानबिन को निमित्त संघर्ष गर्नु परेको घटनाहरु कम छैनन।,वास्तविक घटना ओझेल पार्ने उद्देश्यले यस्ता कमजोर मुद्दामा अल्झाएर आँखामा छारो हाल्ने र जातीय बिभेद मुक्ति अभियान फासफुस पार्नेहरु कै मतियार पो रुपा सुनार बन्यो कि?,आशंका त गर्न पाइयो नै।,I,वास्तविक घटना ओझेल पार्ने उद्देश्यले यस्ता कमजोर मुद्दामा अल्झाएर ###आँखामा छारो हाल्ने### र जातीय बिभेद मुक्ति अभियान फासफुस पार्नेहरु कै मतियार पो रुपा सुनार बन्यो कि?,,,,,,,,,
95,आँखामा छारो हाल्नु,आँखामा छ,मन्थली नगरपालिका वडा नं. १ मा सञ्चालित मन्थली माध्यामिक विद्यालयमा भएको चरम अनियमितताको लागि गठित स्थलगत छानविन समितिले पेश गरेको प्रतिवेदन लुकाउन मन्थली नगरपालिकाले ध्यानाकर्षण सार्वजनिक गरेको छ ।,स्थलगत छानविन प्रतिवेदन सार्वजनिक गर्ने भन्दै नगरपालिकाले गरेको पत्रकार सम्मेलनमा समेत सारसंक्षेप दिँदै आँखामा छारो हाल्ने काम गरेको थियो ।,पत्रकारहरूले स्थलगत छानविन प्रतिवेदन लुकाएको भन्दै समाचार प्रकाशन गर्दा नगरपालिकाले उक्त प्रतिवेदन दिनको सट्टामा ध्यानाकर्षण निकाल्दै आफूलाई पानी माथीको ओभानो बनाउन खोजेको छ ।,I,स्थलगत छानविन प्रतिवेदन सार्वजनिक गर्ने भन्दै नगरपालिकाले गरेको पत्रकार सम्मेलनमा समेत सारसंक्षेप दिँदै ###आँखामा छारो हाल्ने### काम गरेको थियो ।,,,,,,,,,
96,आँखामा छारो हाल्नु,आँखामा छ,वास्तवमा त्यो प्रतिशोध र पूर्वाग्रहपूर्ण व्यवहारबाट तत्कालीन सरकारको नेतृत्व गरेको पार्टी नेकपा (एमाले)लाई होइन गण्डकी प्रदेश र समृद्ध प्रदेशको जनताको चाहनामाथि कुठाराघात हुन पुगेको हाम्रो ठहर छ।,"’
वर्तमा सरकार जनताका आँखामा छारो हाल्न चाहन्छ भन्दै एमालेले जनता र प्रदेशको भविष्यलाई सुन्दर र उज्ज्वल बनाउन कमजोरी तुरुन्तै सच्च्याइन माग पनि गरेको छ।","एमाले संसदीय दलले ७ शीर्षकमा सरकारलाई दिएको सुझाव यस्तो छ :
क) भौतिक पूर्वाधार
टेण्डर भएका निम्न योजनाहरुलाई तुरुन्तै कार्यान्वयनमा लगियोस् ।",I,"’
वर्तमा सरकार जनताका ###आँखामा छारो हाल्न### चाहन्छ भन्दै एमालेले जनता र प्रदेशको भविष्यलाई सुन्दर र उज्ज्वल बनाउन कमजोरी तुरुन्तै सच्च्याइन माग पनि गरेको छ।",,,,,,,,,
97,आँखामा छारो हाल्नु,आँखामा छ,उनीहरुको सिकाइमा कत्तिको प्रभाव पारेको छ ?,यसको कुनै तथ्यसँगत मुल्याँकन नै छैन केवल हल्ला र आँखामा छारो हाल्ने रुपमा मात्रै गरिएको देखिन्छ ।,"तपाईले केही बेर अघि निजी र सार्वजनिक शिक्षाले वर्ग विभाजन गरेको चर्चा गर्नु भयो, तर यहाँ त निजी विद्यालयहरु भित्रै पनि ठूलो फरक रहेछ, कतिपयले अनलाईनबाटै प्रभावकारी रुपमा कक्षा सञ्चालन गरिरहेका छन्, त्रैमासिक परीक्षा समेत लिईसके, कतिपयले आफ्ना विद्यार्थी यकिन गर्न समेत पाएका छैनन्, विद्यालय दुबो र झाडिले छोपिईसकेको छ, यो फरकलाई नबुझेर एउटै आँखाबाट हेर्दा पनि पो असर परिराखेको हो की ?",I,यसको कुनै तथ्यसँगत मुल्याँकन नै छैन केवल हल्ला र ###आँखामा छारो हाल्ने### रुपमा मात्रै गरिएको देखिन्छ ।,,,,,,,,,
